 ,231225,
我,1817,6年生
弁,1817,5年生
慮,1806,中学校
毛,1801,2年生
鎖,1800,中学校
骨,1799,6年生
縁,1798,中学校
溶,1797,中学校
抵,1794,中学校
銅,1785,5年生
礼,1783,3年生
抑,1781,中学校
貫,1775,中学校
俗,1769,中学校
充,1766,中学校
却,1766,中学校
殊,1762,中学校
齢,1760,中学校
裏,1747,6年生
購,1739,中学校
縄,1719,中学校
即,1716,中学校
窓,1711,6年生
殿,1708,中学校
壁,1707,中学校
繁,1704,中学校
亜,1703,中学校
耐,1703,中学校
阿,1702,
茶,1701,2年生
飲,1699,3年生
儀,1698,中学校
緩,1693,中学校
奥,1683,中学校
喜,1682,4年生
招,1670,5年生
網,1665,中学校
慶,1646,中学校
郷,1638,6年生
～,1634,
干,1620,6年生
渉,1612,中学校
逃,1608,中学校
“,1599,
尊,1597,6年生
仲,1595,4年生
雲,1592,2年生
梅,1591,4年生
秒,1591,3年生
威,1589,中学校
幾,1588,中学校
稿,1585,中学校
剤,1585,中学校
緑,1585,3年生
符,1584,中学校
兼,1582,中学校
紹,1578,中学校
竹,1575,1年生
脳,1563,6年生
秘,1562,6年生
柔,1560,中学校
仰,1559,中学校
丘,1556,中学校
浅,1556,4年生
皮,1552,3年生
午,1542,2年生
須,1540,
巡,1537,中学校
包,1534,4年生
脚,1533,中学校
裂,1530,中学校
厚,1528,5年生
怪,1517,中学校
枠,1516,中学校
責,1516,5年生
奇,1512,中学校
芝,1511,中学校
暴,1509,5年生
該,1507,中学校
夕,1504,1年生
敬,1503,6年生
×,1495,
廷,1493,中学校
往,1492,5年生
豆,1491,3年生
恐,1489,中学校
弦,1489,中学校
箱,1484,3年生
礎,1481,中学校
沼,1479,中学校
雷,1478,中学校
救,1470,4年生
冠,1457,中学校
隠,1449,中学校
径,1446,4年生
借,1441,4年生
没,1438,中学校
刷,1428,4年生
仁,1425,6年生
鹿,1421,
虫,1420,1年生
抱,1419,中学校
滞,1419,中学校
翻,1418,中学校
駒,1413,
酵,1411,中学校
霊,1410,
潟,1409,中学校
希,1407,4年生
浮,1406,中学校
陥,1403,中学校
幸,1401,3年生
銃,1389,中学校
己,1389,6年生
棄,1385,中学校
緯,1384,中学校
稲,1381,中学校
封,1378,中学校
幼,1371,6年生
硬,1364,中学校
飾,1363,中学校
麻,1359,中学校
鎌,1349,
乳,1345,6年生
賛,1338,5年生
丁,1337,3年生
縦,1336,6年生
摂,1335,中学校
竜,1335,中学校
翼,1329,中学校
培,1325,中学校
媒,1323,中学校
握,1320,中学校
轄,1317,中学校
娘,1312,中学校
牛,1312,2年生
桜,1311,5年生
需,1309,中学校
顕,1306,中学校
埋,1302,中学校
荒,1302,中学校
掘,1302,中学校
貿,1301,5年生
爵,1300,中学校
熊,1294,
憶,1285,中学校
郊,1284,中学校
菌,1284,中学校
薄,1271,中学校
氷,1265,3年生
伏,1260,中学校
○,1255,
彦,1254,
床,1250,中学校
奉,1248,中学校
拒,1243,中学校
龍,1242,
湯,1239,3年生
